product_id,old_sku,new_sku,name
7742,,TZ-PLAY-ALIE-3990,"Alien Isolation: Nostromo Edition"
7741,,TZ-BRAN-ZIGG-046A,"Ziggurat"
7740,,TZ-BRAN-WHIT-E002,"White Day"
7739,,TZ-BRAN-WARR-E3F8,"Warriors All-Stars"
7738,,TZ-BRAN-WARH-51D1,"Warhammer 40,000: Deathwatch"
7732,,TZ-BRAN-VALT-C803,"Valthirian Arc"
7731,,TZ-BRAN-VALK-C9BC,"Valkyria Chronicles 4"
7730,,TZ-BRAN-VLET-AEC4,"V letter Root Letter Last Answer"
7729,,TZ-BRAN-TRAN-590B,"Transference"
7728,,TZ-BRAN-TOUK-FDCF,"Toukiden: Kiwami"
7722,,TZ-BRAN-TOMC-6AB6,"Tom Clancy's The Division 2"
7721,,TZ-BRAN-TOKY-35ED,"Tokyo Twilight Ghost Hunters Daybreak: Special Gigs"
7720,,TZ-BRAN-THES-09F9,"The Sexy Brutale: Full House Edition"
7719,,TZ-BRAN-TALE-1B81,"Tales Borderlands From The Cames Beres"
7718,,TZ-BRAN-SHAD-3B3E,"Shadow Of The Beast"
7717,,TZ-BRAN-REDF-D9A7,"Red Faction Remastered Guerrilla"
7716,,TZ-BRAN-PLAY-50CD,"PlayStation VR Demo Disc"
7715,,TZ-BRAN-PAST-79FB,"Past Cure"
7714,,TZ-BRAN-OASI-BBAF,"Oasis Games VR Fun Pack"
7713,,TZ-BRAN-LITT-BF17,"Little Big Planet 3"
7712,,TZ-BRAN-LICH-4280,"Lichdom: Battlemage"
7711,,TZ-BRAN-KOTO-08E8,"Kotodama: The 7 Mysteries of Fujisawa"
7710,,TZ-BRAN-ITTA-2F95,"It Takes Two"
7709,,TZ-BRAN-HERO-662D,"Hero Defense"
7708,,TZ-BRAN-HADE-EA88,"Hades"
7707,,TZ-BRAN-GUNV-3220,"Gunvolt Chronicles: Luminous Avenger iX"
7706,,TZ-BRAN-GODO-D0E8,"God of War"
7705,,TZ-BRAN-GIRL-87A4,"Girls and Panzer Dream Tank Match Girls"
7704,,TZ-BRAN-FIFA-429A,"FIFA 19"
7703,,TZ-BRAN-FALL-36E9,"Fallout 76"
7701,,TZ-BRAN-ETHE-4AD3,"Ether"
